TransactionID,TransactionDate,FarmerID
1,2023-04-21,227
2,2023-05-09,676
3,2023-09-12,434
4,2022-05-04,474
5,2023-09-16,859
6,2023-02-14,929
7,2022-03-08,734
8,2022-10-03,841
9,2023-04-10,721
10,2022-11-15,212
11,2022-03-21,35
12,2023-02-01,48
13,2022-10-04,389
14,2022-03-09,930
15,2023-04-09,58
16,2022-12-10,787
17,2023-09-18,834
18,2023-01-24,744
19,2022-11-25,777
20,2023-04-03,635
21,2022-04-18,851
22,2022-07-24,282
23,2023-04-02,111
24,2022-06-09,480
25,2022-12-21,393
26,2022-10-21,678
27,2022-06-11,587
28,2023-08-20,841
29,2023-10-11,720
30,2023-10-04,359
31,2022-09-24,262
32,2023-02-26,611
33,2023-02-28,675
34,2023-03-13,286
35,2023-08-30,782
36,2023-08-23,576
37,2022-01-22,968
38,2023-03-29,800
39,2023-12-26,609
40,2022-05-28,832
41,2022-06-09,586
42,2022-11-03,456
43,2022-12-19,62
44,2022-04-06,651
45,2022-05-13,644
46,2023-02-01,917
47,2022-11-20,740
48,2023-02-04,996
49,2023-01-02,266
50,2022-03-31,670
51,2022-06-15,765
52,2023-02-26,878
53,2022-05-21,548
54,2022-09-17,84
55,2023-12-10,479
56,2023-02-04,70
57,2023-03-17,48
58,2023-09-26,821
59,2023-03-08,196
60,2022-07-19,149
61,2023-03-26,158
62,2022-07-27,885
63,2023-06-19,715
64,2023-11-22,996
65,2022-04-30,456
66,2023-02-20,707
67,2022-12-18,371
68,2023-01-19,703
69,2023-09-12,596
70,2022-06-23,369
71,2022-01-29,260
72,2022-06-12,28
73,2023-01-03,821
74,2023-10-24,93
75,2023-12-29,360
76,2022-08-08,603
77,2023-04-03,468
78,2023-05-14,374
79,2022-02-15,354
80,2023-02-08,468
81,2023-09-29,971
82,2022-07-23,920
83,2023-04-10,742
84,2023-06-13,95
85,2022-08-30,68
86,2022-06-06,2
87,2023-06-05,299
88,2023-09-21,117
89,2023-07-31,914
90,2022-06-20,888
91,2023-03-14,949
92,2022-05-30,947
93,2023-01-19,222
94,2023-10-27,566
95,2022-10-11,482
96,2022-08-14,605
97,2023-04-12,183
98,2022-02-04,487
99,2023-06-06,141
100,2022-04-26,383
101,2022-08-28,894
102,2023-10-21,128
103,2022-05-26,565
104,2022-04-19,848
105,2023-03-24,737
106,2022-11-21,684
107,2023-01-19,318
108,2023-09-17,4
109,2022-11-03,241
110,2023-09-01,969
111,2023-02-01,416
112,2022-12-17,915
113,2022-04-09,360
114,2022-09-27,925
115,2022-01-24,348
116,2022-03-28,566
117,2023-01-14,323
118,2022-08-07,691
119,2023-12-24,499
120,2022-04-17,69
121,2022-06-16,580
122,2023-08-11,842
123,2023-04-25,536
124,2023-08-28,210
125,2023-03-19,321
126,2022-08-22,243
127,2023-07-22,315
128,2023-04-11,830
129,2023-05-02,770
130,2022-02-17,742
131,2023-11-01,183
132,2023-02-07,534
133,2022-09-12,479
134,2023-07-08,532
135,2023-06-11,65
136,2022-12-10,562
137,2023-08-28,901
138,2023-07-29,396
139,2022-10-23,291
140,2022-03-17,959
141,2022-06-04,815
142,2023-03-21,161
143,2022-12-09,249
144,2023-01-22,901
145,2023-07-21,818
146,2023-06-30,234
147,2022-01-02,746
148,2023-05-16,174
149,2022-09-27,734
150,2023-10-06,296
151,2023-06-05,600
152,2023-09-20,56
153,2022-02-16,429
154,2022-05-15,628
155,2022-10-29,635
156,2022-09-06,79
157,2022-04-30,57
158,2022-06-25,968
159,2023-12-11,959
160,2023-07-21,558
161,2022-09-14,224
162,2022-01-23,214
163,2023-12-11,513
164,2022-12-31,196
165,2023-09-21,845
166,2023-10-01,220
167,2022-12-03,285
168,2022-04-27,111
169,2022-07-15,573
170,2023-03-21,699
171,2023-08-30,964
172,2023-02-03,191
173,2022-05-13,239
174,2023-01-15,727
175,2023-05-16,518
176,2023-10-20,292
177,2023-05-02,929
178,2022-08-08,22
179,2022-12-29,759
180,2022-10-02,651
181,2022-07-31,235
182,2022-03-01,224
183,2022-09-01,327
184,2023-08-29,827
185,2022-01-10,180
186,2022-11-04,777
187,2023-06-22,381
188,2022-04-20,757
189,2023-02-09,497
190,2023-08-08,471
191,2022-12-21,784
192,2023-04-05,768
193,2023-08-06,170
194,2022-12-30,445
195,2023-05-21,621
196,2022-11-05,787
197,2023-03-13,796
198,2023-04-13,571
199,2022-05-06,541
200,2023-09-13,926
201,2023-05-02,505
202,2023-08-09,416
203,2022-03-02,536
204,2023-07-26,68
205,2022-11-17,353
206,2023-09-25,78
207,2022-06-26,848
208,2023-04-04,73
209,2023-11-14,319
210,2023-03-01,236
211,2023-01-14,589
212,2022-04-20,920
213,2022-03-30,229
214,2023-11-10,764
215,2023-07-03,688
216,2023-06-23,737
217,2023-05-21,363
218,2022-05-06,137
219,2023-09-11,643
220,2022-11-13,929
221,2022-04-22,16
222,2022-06-12,217
223,2022-11-24,359
224,2022-06-19,257
225,2023-09-16,526
226,2023-03-12,788
227,2023-04-16,464
228,2022-08-11,619
229,2022-07-17,682
230,2022-12-30,934
231,2022-02-09,489
232,2023-08-02,861
233,2023-02-17,180
234,2023-04-01,104
235,2023-02-23,899
236,2023-11-30,913
237,2022-12-07,126
238,2023-08-23,653
239,2023-04-20,993
240,2023-06-30,665
241,2022-09-29,999
242,2022-04-16,803
243,2023-08-26,876
244,2023-10-13,133
245,2023-07-15,624
246,2023-07-26,786
247,2023-05-05,774
248,2022-04-02,3
249,2022-05-09,193
250,2023-09-19,665
251,2023-01-02,77
252,2022-04-24,451
253,2023-12-03,967
254,2022-05-18,818
255,2023-11-25,498
256,2022-02-25,99
257,2023-12-15,951
258,2023-03-04,96
259,2023-09-30,886
260,2023-05-08,28
261,2022-07-12,168
262,2022-06-14,335
263,2022-10-12,36
264,2023-04-23,18
265,2022-06-01,531
266,2023-04-05,687
267,2023-08-02,265
268,2022-03-04,245
269,2023-03-23,365
270,2023-07-22,788
271,2022-09-27,466
272,2022-07-10,688
273,2022-12-22,80
274,2023-05-08,40
275,2023-10-05,50
276,2022-06-22,183
277,2023-07-28,617
278,2022-01-04,225
279,2022-03-09,590
280,2022-07-20,654
281,2023-12-16,764
282,2022-04-12,614
283,2023-01-24,442
284,2022-06-26,673
285,2022-07-21,465
286,2023-05-12,900
287,2023-07-17,490
288,2022-04-08,999
289,2023-03-05,127
290,2023-12-25,288
291,2023-11-06,541
292,2023-12-01,316
293,2023-03-11,246
294,2022-02-10,106
295,2023-06-27,936
296,2023-06-22,934
297,2022-10-26,149
298,2023-10-16,845
299,2022-04-12,310
300,2022-02-03,92
301,2022-04-08,924
302,2022-04-10,318
303,2023-01-12,202
304,2022-03-06,918
305,2022-09-08,572
306,2023-01-02,255
307,2022-11-07,533
308,2023-07-29,184
309,2023-04-14,543
310,2022-10-11,2
311,2022-11-13,713
312,2023-09-18,991
313,2022-10-28,747
314,2023-05-22,53
315,2022-08-12,255
316,2022-06-22,648
317,2022-09-04,969
318,2022-03-09,760
319,2022-10-17,709
320,2023-11-22,999
321,2023-06-16,738
322,2022-07-25,510
323,2023-11-25,994
324,2023-04-29,274
325,2022-02-24,805
326,2023-02-21,694
327,2023-09-14,719
328,2023-06-30,448
329,2022-02-18,959
330,2023-08-08,892
331,2022-03-21,545
332,2023-01-12,699
333,2023-07-20,1000
334,2022-12-10,879
335,2023-05-07,67
336,2022-03-06,263
337,2023-02-07,147
338,2022-10-18,932
339,2022-06-23,440
340,2022-05-05,227
341,2023-02-24,768
342,2023-02-04,205
343,2023-04-12,886
344,2022-08-16,320
345,2023-06-07,673
346,2023-08-06,679
347,2023-05-06,755
348,2022-11-17,69
349,2023-07-01,253
350,2023-11-02,16
351,2023-04-21,917
352,2022-03-31,256
353,2023-01-23,652
354,2023-07-07,166
355,2023-09-23,935
356,2022-05-11,428
357,2023-03-17,706
358,2022-10-03,601
359,2022-10-08,299
360,2023-02-06,291
361,2023-09-20,680
362,2023-06-17,702
363,2022-03-05,865
364,2022-07-28,1
365,2023-02-07,587
366,2023-03-21,848
367,2023-05-19,866
368,2022-01-11,635
369,2022-03-12,3
370,2022-10-04,671
371,2022-08-08,94
372,2022-03-11,646
373,2022-04-18,566
374,2023-03-01,756
375,2022-03-05,694
376,2023-05-02,619
377,2023-02-17,546
378,2022-12-10,355
379,2022-08-24,636
380,2022-02-19,450
381,2022-02-26,435
382,2022-03-02,143
383,2023-07-16,165
384,2022-04-09,675
385,2023-09-30,185
386,2022-01-27,928
387,2023-08-13,23
388,2022-09-06,632
389,2023-03-16,855
390,2023-04-29,768
391,2023-01-10,244
392,2023-10-15,223
393,2023-07-05,965
394,2023-12-03,690
395,2022-09-23,229
396,2023-10-16,211
397,2022-10-18,144
398,2023-02-15,279
399,2022-11-04,528
400,2023-07-17,636
401,2022-11-15,247
402,2022-11-26,108
403,2023-11-11,603
404,2022-07-25,626
405,2023-01-10,288
406,2023-01-24,14
407,2022-01-15,275
408,2022-01-09,857
409,2023-02-28,466
410,2022-05-31,25
411,2022-08-23,38
412,2022-03-21,903
413,2022-01-08,536
414,2022-08-10,159
415,2022-01-19,21
416,2023-02-18,146
417,2023-04-28,246
418,2022-04-20,370
419,2023-08-30,75
420,2022-08-13,1
421,2023-12-10,978
422,2022-04-10,824
423,2022-04-25,713
424,2023-01-14,581
425,2023-04-29,744
426,2023-01-18,843
427,2023-11-24,114
428,2022-02-25,699
429,2022-06-15,185
430,2022-05-21,342
431,2023-07-16,297
432,2023-11-12,197
433,2022-10-09,761
434,2023-06-05,161
435,2022-12-29,123
436,2022-09-01,995
437,2023-11-08,906
438,2023-10-13,701
439,2022-08-01,25
440,2022-07-21,938
441,2022-06-07,228
442,2022-01-26,387
443,2023-04-23,727
444,2023-03-20,672
445,2022-01-10,671
446,2023-12-26,235
447,2022-04-04,59
448,2022-09-12,416
449,2023-05-05,32
450,2023-10-01,100
451,2023-08-30,17
452,2023-04-29,31
453,2023-09-17,116
454,2023-11-17,462
455,2023-12-25,432
456,2022-05-22,960
457,2022-05-05,786
458,2023-12-10,200
459,2022-07-19,333
460,2022-10-15,796
461,2023-12-06,829
462,2022-03-29,538
463,2023-10-16,314
464,2023-08-12,412
465,2023-03-27,116
466,2022-02-16,683
467,2023-10-09,979
468,2023-09-03,359
469,2022-11-19,739
470,2022-08-08,795
471,2023-12-19,706
472,2023-10-03,387
473,2023-05-31,496
474,2023-03-12,671
475,2022-03-07,933
476,2022-10-15,842
477,2023-01-08,780
478,2023-01-23,790
479,2022-08-01,483
480,2023-09-07,688
481,2023-11-04,278
482,2022-02-02,766
483,2022-04-22,811
484,2023-02-02,568
485,2022-08-18,586
486,2023-09-22,990
487,2022-11-27,167
488,2023-12-01,391
489,2022-04-21,943
490,2023-07-29,210
491,2023-11-24,999
492,2022-10-21,79
493,2022-01-14,741
494,2022-05-23,699
495,2022-10-08,639
496,2023-07-04,402
497,2023-05-17,580
498,2023-10-13,306
499,2023-09-27,340
500,2022-06-12,236
501,2022-08-26,591
502,2023-08-14,42
503,2023-02-20,584
504,2022-06-05,123
505,2022-06-18,495
506,2023-10-19,72
507,2022-04-05,457
508,2023-08-31,533
509,2022-02-15,256
510,2022-10-01,806
511,2023-01-20,271
512,2022-12-05,310
513,2023-10-04,69
514,2023-06-13,763
515,2023-09-16,208
516,2022-05-22,879
517,2022-11-06,301
518,2022-08-15,46
519,2023-11-30,997
520,2022-09-15,712
521,2023-08-26,902
522,2023-08-09,908
523,2022-11-21,152
524,2023-10-02,649
525,2022-11-08,647
526,2023-05-22,947
527,2023-06-10,895
528,2022-10-06,541
529,2023-11-04,415
530,2023-09-01,260
531,2023-05-23,759
532,2022-07-03,540
533,2023-04-25,714
534,2023-12-04,665
535,2023-07-25,662
536,2023-03-18,906
537,2023-12-05,189
538,2022-10-18,261
539,2022-04-12,425
540,2023-02-24,303
541,2023-12-18,736
542,2022-06-13,866
543,2022-09-18,260
544,2023-03-07,866
545,2023-07-15,581
546,2022-12-15,209
547,2022-06-11,2
548,2022-05-19,993
549,2023-07-22,167
550,2023-08-18,437
551,2023-05-02,319
552,2023-09-02,668
553,2022-11-14,163
554,2022-08-10,489
555,2023-12-18,695
556,2022-07-22,200
557,2023-08-18,842
558,2022-02-08,626
559,2023-10-29,286
560,2022-03-27,621
561,2023-03-15,115
562,2023-07-27,898
563,2022-04-15,282
564,2022-06-17,484
565,2023-07-31,380
566,2023-09-10,714
567,2023-01-21,716
568,2022-02-17,433
569,2022-12-28,229
570,2023-04-09,47
571,2022-05-08,434
572,2023-09-03,136
573,2022-03-29,885
574,2023-08-25,638
575,2022-05-11,283
576,2022-08-23,740
577,2022-11-29,463
578,2023-11-29,868
579,2022-05-26,782
580,2022-02-22,138
581,2023-11-15,579
582,2023-05-19,415
583,2023-01-10,936
584,2022-09-20,555
585,2022-05-17,139
586,2022-07-26,957
587,2022-10-18,753
588,2022-07-07,248
589,2022-03-01,282
590,2023-01-06,359
591,2023-04-03,515
592,2023-11-05,871
593,2022-07-01,142
594,2023-02-10,767
595,2023-08-09,813
596,2023-07-01,135
597,2022-11-19,498
598,2023-11-14,510
599,2023-11-26,592
600,2023-03-05,352
601,2022-03-20,830
602,2022-07-16,255
603,2022-12-24,875
604,2022-04-09,553
605,2023-01-29,592
606,2023-07-12,648
607,2023-07-31,555
608,2022-08-14,59
609,2023-05-20,427
610,2022-01-23,742
611,2022-03-11,335
612,2023-12-28,835
613,2023-09-28,458
614,2022-09-27,672
615,2022-12-20,979
616,2022-10-09,141
617,2023-12-09,764
618,2023-03-26,886
619,2023-01-17,643
620,2022-07-25,418
621,2022-09-19,667
622,2023-11-26,491
623,2022-08-06,179
624,2022-02-17,361
625,2023-08-08,839
626,2023-06-06,205
627,2023-01-31,269
628,2022-06-17,761
629,2022-08-09,3
630,2023-04-15,943
631,2022-02-21,385
632,2023-03-05,826
633,2022-09-17,740
634,2023-08-14,199
635,2023-07-17,143
636,2023-06-27,108
637,2023-08-28,285
638,2023-03-19,633
639,2023-12-01,366
640,2023-02-06,38
641,2022-04-08,654
642,2023-12-27,107
643,2022-05-18,836
644,2023-07-06,614
645,2023-06-01,146
646,2023-06-26,975
647,2022-11-27,304
648,2022-10-20,268
649,2023-09-23,279
650,2023-12-15,976
651,2022-04-07,914
652,2022-11-05,854
653,2022-09-14,665
654,2023-06-19,291
655,2022-05-31,118
656,2022-08-14,184
657,2022-07-08,267
658,2022-04-18,517
659,2023-10-06,130
660,2023-09-06,408
661,2023-05-08,355
662,2023-05-29,5
663,2022-11-03,311
664,2022-06-09,843
665,2023-01-06,194
666,2022-03-13,666
667,2023-07-05,154
668,2023-10-12,203
669,2022-10-20,951
670,2022-09-04,882
671,2023-07-31,985
672,2023-08-07,688
673,2022-05-13,744
674,2023-10-28,30
675,2023-04-03,364
676,2023-11-06,868
677,2023-07-25,669
678,2022-03-19,916
679,2023-10-14,686
680,2023-08-31,414
681,2022-06-13,546
682,2022-09-03,749
683,2023-09-25,370
684,2022-12-19,706
685,2022-01-26,863
686,2022-10-09,486
687,2023-03-22,399
688,2023-06-14,222
689,2022-08-19,995
690,2023-02-15,738
691,2022-01-23,462
692,2023-01-17,27
693,2023-02-07,272
694,2023-11-23,117
695,2023-02-26,324
696,2022-01-14,469
697,2023-03-10,877
698,2023-03-24,903
699,2023-06-12,279
700,2022-07-06,289
701,2022-05-17,688
702,2022-04-29,67
703,2022-04-10,9
704,2023-01-24,209
705,2023-07-26,838
706,2023-07-19,981
707,2022-10-02,661
708,2022-08-16,198
709,2022-07-12,459
710,2023-12-21,779
711,2022-06-21,416
712,2023-06-01,593
713,2023-05-05,390
714,2022-08-05,990
715,2022-11-27,739
716,2023-02-14,964
717,2023-05-20,30
718,2023-05-23,237
719,2022-08-24,527
720,2022-08-21,280
721,2023-08-23,703
722,2023-10-03,136
723,2022-11-06,571
724,2023-10-10,882
725,2022-10-12,833
726,2022-09-13,714
727,2023-05-21,948
728,2023-04-25,339
729,2023-01-02,373
730,2022-03-11,847
731,2022-04-23,956
732,2023-08-24,525
733,2023-08-26,804
734,2022-03-01,570
735,2022-08-09,745
736,2023-12-11,81
737,2022-05-29,805
738,2022-03-17,213
739,2023-01-26,850
740,2023-02-28,396
741,2023-06-03,626
742,2022-02-13,736
743,2023-03-06,391
744,2023-11-19,86
745,2023-12-13,719
746,2023-12-16,815
747,2023-08-28,43
748,2023-06-27,570
749,2023-06-14,522
750,2023-01-30,118
751,2023-06-22,424
752,2022-02-27,148
753,2023-11-16,556
754,2023-08-10,60
755,2023-02-23,949
756,2023-02-20,305
757,2023-05-07,57
758,2022-07-08,677
759,2023-05-20,645
760,2023-02-10,64
761,2023-12-02,822
762,2022-02-16,68
763,2022-01-19,639
764,2023-03-22,780
765,2023-10-08,518
766,2022-04-18,365
767,2022-09-18,250
768,2023-11-26,220
769,2023-11-05,565
770,2023-05-28,598
771,2023-12-14,159
772,2023-07-13,771
773,2023-11-05,891
774,2023-03-29,442
775,2022-01-30,473
776,2022-03-13,998
777,2023-03-22,16
778,2022-03-26,982
779,2023-09-10,354
780,2022-03-27,823
781,2023-01-09,973
782,2022-01-12,980
783,2022-11-04,496
784,2022-12-21,847
785,2023-09-22,961
786,2023-02-27,589
787,2022-10-19,629
788,2022-09-17,602
789,2023-09-09,648
790,2022-11-25,98
791,2022-07-07,948
792,2022-04-11,720
793,2023-12-03,632
794,2022-07-26,303
795,2023-02-26,822
796,2023-03-30,96
797,2023-08-21,939
798,2023-04-01,188
799,2022-04-26,778
800,2022-11-06,344
801,2023-11-13,714
802,2022-02-13,926
803,2022-12-12,46
804,2023-02-22,117
805,2023-10-31,374
806,2022-01-08,765
807,2023-03-18,630
808,2023-03-13,950
809,2023-08-23,903
810,2022-06-16,245
811,2023-04-25,131
812,2023-01-01,372
813,2023-12-27,315
814,2022-08-28,486
815,2022-04-25,335
816,2022-09-23,5
817,2022-07-24,377
818,2023-08-12,426
819,2022-01-25,472
820,2023-06-24,204
821,2022-09-13,599
822,2023-07-16,311
823,2022-06-10,863
824,2022-10-25,906
825,2023-08-20,197
826,2023-06-28,839
827,2022-04-22,891
828,2023-02-05,549
829,2023-04-28,686
830,2022-02-18,371
831,2022-05-07,912
832,2023-02-15,590
833,2023-02-21,134
834,2023-01-08,806
835,2022-02-21,752
836,2022-09-17,342
837,2023-07-09,130
838,2022-12-09,197
839,2022-11-14,899
840,2023-09-19,59
841,2023-12-22,110
842,2023-05-31,520
843,2023-11-13,677
844,2023-05-11,470
845,2022-05-24,805
846,2022-08-27,760
847,2022-04-13,376
848,2023-06-11,747
849,2022-08-29,603
850,2023-06-09,163
851,2023-07-23,502
852,2022-03-15,97
853,2023-12-17,120
854,2023-03-27,717
855,2023-03-15,708
856,2022-12-09,251
857,2022-06-08,917
858,2023-01-06,810
859,2023-09-03,587
860,2023-01-02,613
861,2023-09-18,339
862,2023-04-24,863
863,2022-06-13,4
864,2023-07-10,593
865,2022-11-28,668
866,2023-06-22,942
867,2022-02-20,976
868,2022-06-28,152
869,2022-07-16,242
870,2023-07-11,829
871,2023-05-27,127
872,2023-09-08,660
873,2023-02-27,445
874,2022-05-16,794
875,2023-12-09,178
876,2023-12-17,355
877,2023-07-30,602
878,2023-03-18,459
879,2023-05-13,528
880,2023-05-26,508
881,2023-11-30,954
882,2022-04-10,659
883,2023-10-01,472
884,2023-10-18,92
885,2022-03-09,203
886,2023-10-28,823
887,2023-04-01,423
888,2022-04-12,34
889,2023-08-20,423
890,2022-06-20,427
891,2023-10-14,852
892,2023-08-30,593
893,2022-10-17,12
894,2023-12-17,361
895,2022-12-28,919
896,2022-04-01,52
897,2023-06-20,379
898,2023-02-16,277
899,2023-01-19,910
900,2022-10-22,101
901,2022-08-04,167
902,2023-03-04,576
903,2022-06-22,286
904,2023-01-06,320
905,2023-08-20,183
906,2022-10-08,288
907,2022-03-08,531
908,2023-09-26,658
909,2023-07-08,63
910,2023-06-17,503
911,2023-06-06,588
912,2023-11-10,998
913,2022-03-18,18
914,2023-04-20,161
915,2023-01-14,728
916,2023-05-23,162
917,2022-08-31,300
918,2023-11-25,234
919,2023-01-09,686
920,2023-02-18,587
921,2023-10-31,571
922,2022-02-08,42
923,2023-09-19,745
924,2023-02-18,101
925,2022-08-10,693
926,2023-04-26,658
927,2022-12-09,988
928,2022-02-20,210
929,2022-11-11,614
930,2023-02-12,300
931,2023-07-03,333
932,2023-02-17,641
933,2023-04-10,73
934,2023-02-10,114
935,2022-03-13,184
936,2023-04-20,752
937,2023-06-20,383
938,2023-07-05,872
939,2022-08-21,741
940,2022-12-31,775
941,2022-03-19,1
942,2023-12-19,323
943,2023-08-04,50
944,2022-07-01,309
945,2023-08-31,915
946,2022-08-19,206
947,2022-06-16,42
948,2023-08-19,940
949,2022-07-12,494
950,2022-12-17,182
951,2022-05-01,287
952,2022-03-22,334
953,2023-03-04,112
954,2023-11-01,694
955,2023-04-25,231
956,2022-03-13,701
957,2022-07-29,711
958,2022-10-17,447
959,2022-06-02,915
960,2022-05-09,455
961,2022-04-10,28
962,2022-06-12,937
963,2023-10-15,560
964,2023-08-06,290
965,2023-06-19,68
966,2022-03-26,463
967,2023-03-29,850
968,2023-10-20,534
969,2022-10-09,710
970,2023-10-07,513
971,2023-10-31,346
972,2023-01-07,486
973,2022-04-24,120
974,2023-04-23,494
975,2022-08-22,11
976,2023-10-02,888
977,2023-02-16,641
978,2023-02-26,962
979,2023-05-12,567
980,2022-03-28,734
981,2023-08-14,26
982,2023-02-12,395
983,2022-12-22,112
984,2022-09-21,35
985,2022-04-20,667
986,2023-08-03,442
987,2023-03-17,729
988,2022-01-15,860
989,2023-08-15,20
990,2023-12-02,97
991,2023-10-10,617
992,2023-10-15,479
993,2023-04-11,436
994,2022-06-26,569
995,2023-08-04,907
996,2022-10-15,394
997,2022-12-15,94
998,2023-02-03,194
999,2022-01-22,241
1000,2023-05-17,299
